n=500, k=1000, numdec=10^-4 
(-900.6733, 897.8042),
(-897.8042, 897.8042),
(-897.001, 897.001),
(-897.001, 894.1319),
(-894.1319, 894.1319),
(-894.0672, 894.0672),
(-894.0672, 891.1981),
(-891.1981, 891.1981),
(-889.0335, 889.0335),
(-889.0335, 886.1644),
(-886.1644, 886.1644),
(-884.5819, 884.5819),
(-884.5819, 881.7128),
(-881.7128, 881.7128),
(-881.3087, 881.3087),
(-881.3087, 878.4396),
(-878.4396, 878.4396),
(-877.1229, 877.1229),
(-877.1229, 874.2538),
(-874.2538, 874.2538),
(-873.3998, 873.3998),
(-873.3998, 870.5307),
(-870.5307, 870.5307),
(-869.1602, 869.1602),
(-869.1602, 866.2911),
(-866.2911, 866.2911),
(-864.6074, 864.6074),
(-864.6074, 861.7383),
(-861.7383, 861.7383),
(-860.5572, 860.5572),
(-860.5572, 857.6881),
(-857.6881, 857.6881),
(-856.6199, 856.6199),
(-856.6199, 853.7508),
(-853.7508, 853.7508),
(-853.6415, 853.6415),
(-853.6415, 850.7724),
(-850.7724, 850.7724),
(-849.5289, 849.5289),
(-849.5289, 846.6598),
(-846.6598, 846.6598),
(-845.7142, 845.7142),
(-845.7142, 842.8451),
(-842.8451, 842.8451),
(-841.1706, 841.1706),
(-841.1706, 838.3015),
(-838.3015, 838.3015),
(-836.8199, 836.8199),
(-836.8199, 833.9508),
(-833.9508, 833.9508),
(-833.3777, 833.3777),
(-833.3777, 830.5086),
(-830.5086, 830.5086),
(-829.1756, 829.1756),
(-829.1756, 826.3065),
(-826.3065, 826.3065),
(-824.522, 824.522),
(-824.522, 821.6529),
(-821.6529, 821.6529),
(-821.2964, 821.2964),
(-821.2964, 818.4272),
(-818.4272, 818.4272),
(-816.5895, 816.5895),
(-816.5895, 813.7204),
(-813.7204, 813.7204),
(-813.6668, 813.6668),
(-813.6668, 810.7977),
(-810.7977, 810.7977),
(-809.9491, 809.9491),
(-809.9491, 807.08),
(-807.08, 807.08),
(-805.7747, 805.7747),
(-805.7747, 802.9056),
(-802.9056, 802.9056),
(-801.0528, 801.0528),
(-801.0528, 798.1837),
(-798.1837, 798.1837),
(-797.4951, 797.4951),
(-797.4951, 794.626),
(-794.626, 794.626),
(-792.8892, 792.8892),
(-792.8892, 790.0201),
(-790.0201, 790.0201),
(-789.5153, 789.5153),
(-789.5153, 786.6462),
(-786.6462, 786.6462),
(-784.5382, 784.5382),
(-784.5382, 781.6691),
(-781.6691, 781.6691),
(-781.5817, 781.5817),
(-781.5817, 778.7125),
(-778.7125, 778.7125),
(-776.9793, 776.9793),
(-776.9793, 774.1102),
(-774.1102, 774.1102),
(-773.4798, 773.4798),
(-773.4798, 770.6106),
(-770.6106, 770.6106),
(-768.9522, 768.9522),
(-768.9522, 766.083),
(-766.083, 766.083),
(-764.6534, 764.6534),
(-764.6534, 761.7843),
(-761.7843, 761.7843),
(-761.3062, 761.3062),
(-761.3062, 758.4371),
(-758.4371, 758.4371),
(-757.461, 757.461),
(-757.461, 754.5919),
(-754.5919, 754.5919),
(-752.7283, 752.7283),
(-752.7283, 749.8592),
(-749.8592, 749.8592),
(-749.5211, 749.5211),
(-749.5211, 746.652),
(-746.652, 746.652),
(-745.8274, 745.8274),
(-745.8274, 742.9583),
(-742.9583, 742.9583),
(-741.201, 741.201),
(-741.201, 738.3319),
(-738.3319, 738.3319),
(-737.1519, 737.1519),
(-737.1519, 734.2827),
(-734.2827, 734.2827),
(-734.1268, 734.1268),
(-734.1268, 731.2577),
(-731.2577, 731.2577),
(-730.2239, 730.2239),
(-730.2239, 727.3548),
(-727.3548, 727.3548),
(-724.9079, 724.9079),
(-724.9079, 722.0388),
(-722.0388, 722.0388),
(-721.7704, 721.7704),
(-721.7704, 718.9013),
(-718.9013, 718.9013),
(-716.4356, 716.4356),
(-716.4356, 713.5665),
(-713.5665, 713.5665),
(-713.078, 713.078),
(-713.078, 710.2089),
(-710.2089, 710.2089),
(-708.4967, 708.4967),
(-708.4967, 705.6276),
(-705.6276, 705.6276),
(-704.7559, 704.7559),
(-704.7559, 701.8868),
(-701.8868, 701.8868),
(-700.8609, 700.8609),
(-700.8609, 697.9918),
(-697.9918, 697.9918),
(-696.7031, 696.7031),
(-696.7031, 693.8339),
(-693.8339, 693.8339),
(-693.0263, 693.0263),
(-693.0263, 690.1572),
(-690.1572, 690.1572),
(-689.9904, 689.9904),
(-689.9904, 687.1213),
(-687.1213, 687.1213),
(-685.8203, 685.8203),
(-685.8203, 682.9512),
(-682.9512, 682.9512),
(-682.1705, 682.1705),
(-682.1705, 679.3013),
(-679.3013, 679.3013),
(-676.8143, 676.8143),
(-676.8143, 673.9452),
(-673.9452, 673.9452),
(-672.9639, 672.9639),
(-672.9639, 670.0948),
(-670.0948, 670.0948),
(-668.9241, 668.9241),
(-668.9241, 666.0549),
(-666.0549, 666.0549),
(-665.8805, 665.8805),
(-665.8805, 663.0114),
(-663.0114, 663.0114),
(-660.56, 660.56),
(-660.56, 657.6908),
(-657.6908, 657.6908),
(-656.8418, 656.8418),
(-656.8418, 653.9727),
(-653.9727, 653.9727),
(-653.9596, 653.9596),
(-653.9596, 651.0905),
(-651.0905, 651.0905),
(-650.1774, 650.1774),
(-650.1774, 647.3083),
(-647.3083, 647.3083),
(-646.8657, 646.8657),
(-646.8657, 643.9965),
(-643.9965, 643.9965),
(-643.9595, 643.9595),
(-643.9595, 641.0904),
(-641.0904, 641.0904),
(-638.451, 638.451),
(-638.451, 635.5819),
(-635.5819, 635.5819),
(-635.5283, 635.5283),
(-635.5283, 632.6591),
(-632.6591, 632.6591),
(-632.1519, 632.1519),
(-632.1519, 629.2827),
(-629.2827, 629.2827),
(-627.2858, 627.2858),
(-627.2858, 624.4167),
(-624.4167, 624.4167),
(-623.1609, 623.1609),
(-623.1609, 620.2918),
(-620.2918, 620.2918),
(-618.514, 618.514),
(-618.514, 615.6449),
(-615.6449, 615.6449),
(-615.3, 615.3),
(-615.3, 612.4308),
(-612.4308, 612.4308),
(-611.411, 611.411),
(-611.411, 608.5418),
(-608.5418, 608.5418),
(-607.4915, 607.4915),
(-607.4915, 604.6224),
(-604.6224, 604.6224),
(-603.9455, 603.9455),
(-603.9455, 601.0764),
(-601.0764, 601.0764),
(-598.1173, 598.1173),
(-598.1173, 595.2482),
(-595.2482, 595.2482),
(-594.9369, 594.9369),
(-594.9369, 592.0678),
(-592.0678, 592.0678),
(-590.3336, 590.3336),
(-590.3336, 587.4645),
(-587.4645, 587.4645),
(-585.4495, 585.4495),
(-585.4495, 582.5803),
(-582.5803, 582.5803),
(-582.2833, 582.2833),
(-582.2833, 579.4142),
(-579.4142, 579.4142),
(-576.7051, 576.7051),
(-576.7051, 573.836),
(-573.836, 573.836),
(-573.6956, 573.6956),
(-573.6956, 570.8265),
(-570.8265, 570.8265),
(-570.284, 570.284),
(-570.284, 567.4149),
(-567.4149, 567.4149),
(-565.1546, 565.1546),
(-565.1546, 562.2855),
(-562.2855, 562.2855),
(-561.0721, 561.0721),
(-561.0721, 558.203),
(-558.203, 558.203),
(-557.0506, 557.0506),
(-557.0506, 554.1815),
(-554.1815, 554.1815),
(-553.9488, 553.9488),
(-553.9488, 551.0797),
(-551.0797, 551.0797),
(-550.978, 550.978),
(-550.978, 548.1088),
(-548.1088, 548.1088),
(-545.1388, 545.1388),
(-545.1388, 542.2696),
(-542.2696, 542.2696),
(-541.8684, 541.8684),
(-541.8684, 538.9992),
(-538.9992, 538.9992),
(-537.8226, 537.8226),
(-537.8226, 534.9535),
(-534.9535, 534.9535),
(-532.9301, 532.9301),
(-532.9301, 530.061),
(-530.061, 530.061),
(-528.9726, 528.9726),
(-528.9726, 526.1035),
(-526.1035, 526.1035),
(-525.6788, 525.6788),
(-525.6788, 522.8097),
(-522.8097, 522.8097),
(-522.0305, 522.0305),
(-522.0305, 519.1614),
(-519.1614, 519.1614),
(-518.4478, 518.4478),
(-518.4478, 515.5787),
(-515.5787, 515.5787),
(-513.9565, 513.9565),
(-513.9565, 511.0874),
(-511.0874, 511.0874),
(-510.8601, 510.8601),
(-510.8601, 507.991),
(-507.991, 507.991),
(-504.8884, 504.8884),
(-504.8884, 502.0193),
(-502.0193, 502.0193),
(-501.1742, 501.1742),
(-501.1742, 498.3051),
(-498.3051, 498.3051),
(-498.0787, 498.0787),
(-498.0787, 495.2096),
(-495.2096, 495.2096),
(-495.1922, 495.1922),
(-495.1922, 492.3231),
(-492.3231, 492.3231),
(-489.4209, 489.4209),
(-489.4209, 486.5518),
(-486.5518, 486.5518),
(-485.6522, 485.6522),
(-485.6522, 482.7831),
(-482.7831, 482.7831),
(-482.0121, 482.0121),
(-482.0121, 479.143),
(-479.143, 479.143),
(-478.9218, 478.9218),
(-478.9218, 476.0527),
(-476.0527, 476.0527),
(-473.2697, 473.2697),
(-473.2697, 470.4006),
(-470.4006, 470.4006),
(-469.2485, 469.2485),
(-469.2485, 466.3794),
(-466.3794, 466.3794),
(-464.9006, 464.9006),
(-464.9006, 462.0315),
(-462.0315, 462.0315),
(-460.9708, 460.9708),
(-460.9708, 458.1017),
(-458.1017, 458.1017),
(-456.8959, 456.8959),
(-456.8959, 454.0268),
(-454.0268, 454.0268),
(-453.0285, 453.0285),
(-453.0285, 450.1594),
(-450.1594, 450.1594),
(-449.8166, 449.8166),
(-449.8166, 446.9475),
(-446.9475, 446.9475),
(-444.8218, 444.8218),
(-444.8218, 441.9527),
(-441.9527, 441.9527),
(-441.0327, 441.0327),
(-441.0327, 438.1636),
(-438.1636, 438.1636),
(-437.7645, 437.7645),
(-437.7645, 434.8954),
(-434.8954, 434.8954),
(-433.5469, 433.5469),
(-433.5469, 430.6778),
(-430.6778, 430.6778),
(-430.6621, 430.6621),
(-430.6621, 427.793),
(-427.793, 427.793),
(-427.1111, 427.1111),
(-427.1111, 424.242),
(-424.242, 424.242),
(-422.0248, 422.0248),
(-422.0248, 419.1557),
(-419.1557, 419.1557),
(-418.5696, 418.5696),
(-418.5696, 415.7005),
(-415.7005, 415.7005),
(-413.1616, 413.1616),
(-413.1616, 410.2925),
(-410.2925, 410.2925),
(-409.7027, 409.7027),
(-409.7027, 406.8336),
(-406.8336, 406.8336),
(-405.106, 405.106),
(-405.106, 402.2369),
(-402.2369, 402.2369),
(-401.2453, 401.2453),
(-401.2453, 398.3762),
(-398.3762, 398.3762),
(-397.6886, 397.6886),
(-397.6886, 394.8195),
(-394.8195, 394.8195),
(-393.7725, 393.7725),
(-393.7725, 390.9033),
(-390.9033, 390.9033),
(-390.8592, 390.8592),
(-390.8592, 387.9901),
(-387.9901, 387.9901),
(-386.2936, 386.2936),
(-386.2936, 383.4245),
(-383.4245, 383.4245),
(-383.0138, 383.0138),
(-383.0138, 380.1447),
(-380.1447, 380.1447),
(-378.9954, 378.9954),
(-378.9954, 376.1263),
(-376.1263, 376.1263),
(-375.0509, 375.0509),
(-375.0509, 372.1818),
(-372.1818, 372.1818),
(-372.1536, 372.1536),
(-372.1536, 369.2845),
(-369.2845, 369.2845),
(-365.9335, 365.9335),
(-365.9335, 363.0644),
(-363.0644, 363.0644),
(-362.5975, 362.5975),
(-362.5975, 359.7284),
(-359.7284, 359.7284),
(-357.7288, 357.7288),
(-357.7288, 354.8596),
(-354.8596, 354.8596),
(-354.0948, 354.0948),
(-354.0948, 351.2257),
(-351.2257, 351.2257),
(-351.0616, 351.0616),
(-351.0616, 348.1925),
(-348.1925, 348.1925),
(-345.389, 345.389),
(-345.389, 342.5199),
(-342.5199, 342.5199),
(-342.4132, 342.4132),
(-342.4132, 339.5441),
(-339.5441, 339.5441),
(-337.8702, 337.8702),
(-337.8702, 335.0011),
(-335.0011, 335.0011),
(-334.3935, 334.3935),
(-334.3935, 331.5244),
(-331.5244, 331.5244),
(-330.2677, 330.2677),
(-330.2677, 327.3986),
(-327.3986, 327.3986),
(-326.3275, 326.3275),
(-326.3275, 323.4584),
(-323.4584, 323.4584),
(-321.5857, 321.5857),
(-321.5857, 318.7165),
(-318.7165, 318.7165),
(-317.5975, 317.5975),
(-317.5975, 314.7284),
(-314.7284, 314.7284),
(-313.0474, 313.0474),
(-313.0474, 310.1783),
(-310.1783, 310.1783),
(-309.2213, 309.2213),
(-309.2213, 306.3522),
(-306.3522, 306.3522),
(-305.0795, 305.0795),
(-305.0795, 302.2104),
(-302.2104, 302.2104),
(-301.6972, 301.6972),
(-301.6972, 298.8281),
(-298.8281, 298.8281),
(-297.8168, 297.8168),
(-297.8168, 294.9477),
(-294.9477, 294.9477),
(-294.5686, 294.5686),
(-294.5686, 291.6995),
(-291.6995, 291.6995),
(-291.2939, 291.2939),
(-291.2939, 288.4248),
(-288.4248, 288.4248),
(-287.3783, 287.3783),
(-287.3783, 284.5092),
(-284.5092, 284.5092),
(-282.547, 282.547),
(-282.547, 279.6779),
(-279.6779, 279.6779),
(-279.0815, 279.0815),
(-279.0815, 276.2124),
(-276.2124, 276.2124),
(-273.4438, 273.4438),
(-273.4438, 270.5747),
(-270.5747, 270.5747),
(-269.8033, 269.8033),
(-269.8033, 266.9341),
(-266.9341, 266.9341),
(-266.5428, 266.5428),
(-266.5428, 263.6737),
(-263.6737, 263.6737),
(-262.7678, 262.7678),
(-262.7678, 259.8987),
(-259.8987, 259.8987),
(-258.3547, 258.3547),
(-258.3547, 255.4856),
(-255.4856, 255.4856),
(-255.0398, 255.0398),
(-255.0398, 252.1707),
(-252.1707, 252.1707),
(-249.769, 249.769),
(-249.769, 246.8999),
(-246.8999, 246.8999),
(-245.4394, 245.4394),
(-245.4394, 242.5703),
(-242.5703, 242.5703),
(-242.3436, 242.3436),
(-242.3436, 239.4745),
(-239.4745, 239.4745),
(-237.6636, 237.6636),
(-237.6636, 234.7945),
(-234.7945, 234.7945),
(-233.9309, 233.9309),
(-233.9309, 231.0618),
(-231.0618, 231.0618),
(-229.1162, 229.1162),
(-229.1162, 226.2471),
(-226.2471, 226.2471),
(-225.4308, 225.4308),
(-225.4308, 222.5617),
(-222.5617, 222.5617),
(-222.3414, 222.3414),
(-222.3414, 219.4723),
(-219.4723, 219.4723),
(-219.4273, 219.4273),
(-219.4273, 216.5582),
(-216.5582, 216.5582),
(-215.696, 215.696),
(-215.696, 212.8269),
(-212.8269, 212.8269),
(-210.8291, 210.8291),
(-210.8291, 207.96),
(-207.96, 207.96),
(-206.0805, 206.0805),
(-206.0805, 203.2114),
(-203.2114, 203.2114),
(-201.9996, 201.9996),
(-201.9996, 199.1304),
(-199.1304, 199.1304),
(-197.4, 197.4),
(-197.4, 194.5309),
(-194.5309, 194.5309),
(-193.5981, 193.5981),
(-193.5981, 190.7289),
(-190.7289, 190.7289),
(-189.6837, 189.6837),
(-189.6837, 186.8145),
(-186.8145, 186.8145),
(-186.7609, 186.7609),
(-186.7609, 183.8918),
(-183.8918, 183.8918),
(-182.9799, 182.9799),
(-182.9799, 180.1107),
(-180.1107, 180.1107),
(-177.3815, 177.3815),
(-177.3815, 174.5123),
(-174.5123, 174.5123),
(-173.5848, 173.5848),
(-173.5848, 170.7157),
(-170.7157, 170.7157),
(-170.5451, 170.5451),
(-170.5451, 167.6759),
(-167.6759, 167.6759),
(-165.5723, 165.5723),
(-165.5723, 162.7032),
(-162.7032, 162.7032),
(-161.6097, 161.6097),
(-161.6097, 158.7406),
(-158.7406, 158.7406),
(-157.5759, 157.5759),
(-157.5759, 154.7067),
(-154.7067, 154.7067),
(-153.5432, 153.5432),
(-153.5432, 150.6741),
(-150.6741, 150.6741),
(-149.362, 149.362),
(-149.362, 146.4929),
(-146.4929, 146.4929),
(-145.8931, 145.8931),
(-145.8931, 143.024),
(-143.024, 143.024),
(-141.5131, 141.5131),
(-141.5131, 138.644),
(-138.644, 138.644),
(-138.6305, 138.6305),
(-138.6305, 135.7614),
(-135.7614, 135.7614),
(-134.0724, 134.0724),
(-134.0724, 131.2032),
(-131.2032, 131.2032),
(-130.7976, 130.7976),
(-130.7976, 127.9284),
(-127.9284, 127.9284),
(-125.6591, 125.6591),
(-125.6591, 122.79),
(-122.79, 122.79),
(-122.6664, 122.6664),
(-122.6664, 119.7973),
(-119.7973, 119.7973),
(-119.6758, 119.6758),
(-119.6758, 116.8067),
(-116.8067, 116.8067),
(-115.4201, 115.4201),
(-115.4201, 112.551),
(-112.551, 112.551),
(-110.8173, 110.8173),
(-110.8173, 107.9482),
(-107.9482, 107.9482),
(-107.5925, 107.5925),
(-107.5925, 104.7234),
(-104.7234, 104.7234),
(-102.873, 102.873),
(-102.873, 100.0039),
(-100.0039, 100.0039),
(-99.281, 99.281),
(-99.281, 96.4119),
(-96.4119, 96.4119),
(-95.9805, 95.9805),
(-95.9805, 93.1114),
(-93.1114, 93.1114),
(-91.7833, 91.7833),
(-91.7833, 88.9141),
(-88.9141, 88.9141),
(-85.8144, 85.8144),
(-85.8144, 82.9453),
(-82.9453, 82.9453),
(-81.9398, 81.9398),
(-81.9398, 79.0707),
(-79.0707, 79.0707),
(-78.1568, 78.1568),
(-78.1568, 75.2877),
(-75.2877, 75.2877),
(-73.8773, 73.8773),
(-73.8773, 71.0082),
(-71.0082, 71.0082),
(-70.3316, 70.3316),
(-70.3316, 67.4624),
(-67.4624, 67.4624),
(-65.9548, 65.9548),
(-65.9548, 63.0857),
(-63.0857, 63.0857),
(-63.0441, 63.0441),
(-63.0441, 60.175),
(-60.175, 60.175),
(-58.8012, 58.8012),
(-58.8012, 55.9321),
(-55.9321, 55.9321),
(-54.5543, 54.5543),
(-54.5543, 51.6851),
(-51.6851, 51.6851),
(-51.3071, 51.3071),
(-51.3071, 48.4379),
(-48.4379, 48.4379),
(-45.6493, 45.6493),
(-45.6493, 42.7801),
(-42.7801, 42.7801),
(-41.4503, 41.4503),
(-41.4503, 38.5811),
(-38.5811, 38.5811),
(-37.6533, 37.6533),
(-37.6533, 34.7842),
(-34.7842, 34.7842),
(-34.1765, 34.1765),
(-34.1765, 31.3074),
(-31.3074, 31.3074),
(-30.6184, 30.6184),
(-30.6184, 27.7493),
(-27.7493, 27.7493),
(-25.8193, 25.8193),
(-25.8193, 22.9502),
(-22.9502, 22.9502),
(-22.2774, 22.2774),
(-22.2774, 19.4083),
(-19.4083, 19.4083),
(-19.0471, 19.0471),
(-19.0471, 16.178),
(-16.178, 16.178),
(-15.6796, 15.6796),
(-15.6796, 12.8105),
(-12.8105, 12.8105),
(-10.6883, 10.6883),
(-10.6883, 7.8192),
(-7.8192, 7.8192),
(-7.4719, 7.4719),
(-7.4719, 4.6028),
(-4.6028, 4.6028),
(-3.5823, 3.5823),
(-3.5823, 0.7132),
(-0.7132, 0.7132),
(2.2228, -2.2228),
(2.2228, -5.0919),
(5.0919, -5.0919),
(6.4634, -6.4634),
(6.4634, -9.3325),
(9.3325, -9.3325),
(9.5701, -9.5701),
(9.5701, -12.4392),
(12.4392, -12.4392),
(12.9093, -12.9093),
(12.9093, -15.7784),
(15.7784, -15.7784),
(16.0839, -16.0839),
(16.0839, -18.953),
(18.953, -18.953),
(21.0589, -21.0589),
(21.0589, -23.928),
(23.928, -23.928),
(26.177, -26.177),
(26.177, -29.0461),
(29.0461, -29.0461),
(29.7452, -29.7452),
(29.7452, -32.6143),
(32.6143, -32.6143),
(32.7628, -32.7628),
(32.7628, -35.6319),
(35.6319, -35.6319),
(37.3031, -37.3031),
(37.3031, -40.1722),
(40.1722, -40.1722),
(40.4691, -40.4691),
(40.4691, -43.3382),
(43.3382, -43.3382),
(46.1737, -46.1737),
(46.1737, -49.0428),
(49.0428, -49.0428),
(49.2303, -49.2303),
(49.2303, -52.0994),
(52.0994, -52.0994),
(52.6341, -52.6341),
(52.6341, -55.5032),
(55.5032, -55.5032),
(55.9427, -55.9427),
(55.9427, -58.8118),
(58.8118, -58.8118),
(61.7513, -61.7513),
(61.7513, -64.6204),
(64.6204, -64.6204),
(65.8515, -65.8515),
(65.8515, -68.7206),
(68.7206, -68.7206),
(69.0449, -69.0449),
(69.0449, -71.914),
(71.914, -71.914),
(72.5365, -72.5365),
(72.5365, -75.4056),
(75.4056, -75.4056),
(78.0296, -78.0296),
(78.0296, -80.8987),
(80.8987, -80.8987),
(81.9396, -81.9396),
(81.9396, -84.8087),
(84.8087, -84.8087),
(85.3839, -85.3839),
(85.3839, -88.253),
(88.253, -88.253),
(88.7391, -88.7391),
(88.7391, -91.6082),
(91.6082, -91.6082),
(93.5266, -93.5266),
(93.5266, -96.3957),
(96.3957, -96.3957),
(97.1463, -97.1463),
(97.1463, -100.0154),
(100.0154, -100.0154),
(101.8264, -101.8264),
(101.8264, -104.6955),
(104.6955, -104.6955),
(105.319, -105.319),
(105.319, -108.1881),
(108.1881, -108.1881),
(109.5899, -109.5899),
(109.5899, -112.459),
(112.459, -112.459),
(113.6647, -113.6647),
(113.6647, -116.5338),
(116.5338, -116.5338),
(116.9131, -116.9131),
(116.9131, -119.7822),
(119.7822, -119.7822),
(119.8941, -119.8941),
(119.8941, -122.7632),
(122.7632, -122.7632),
(126.0198, -126.0198),
(126.0198, -128.8889),
(128.8889, -128.8889),
(129.6831, -129.6831),
(129.6831, -132.5522),
(132.5522, -132.5522),
(133.1279, -133.1279),
(133.1279, -135.997),
(135.997, -135.997),
(137.0321, -137.0321),
(137.0321, -139.9012),
(139.9012, -139.9012),
(140.9959, -140.9959),
(140.9959, -143.865),
(143.865, -143.865),
(145.3763, -145.3763),
(145.3763, -148.2454),
(148.2454, -148.2454),
(148.4526, -148.4526),
(148.4526, -151.3217),
(151.3217, -151.3217),
(152.0985, -152.0985),
(152.0985, -154.9676),
(154.9676, -154.9676),
(155.633, -155.633),
(155.633, -158.5021),
(158.5021, -158.5021),
(161.9872, -161.9872),
(161.9872, -164.8563),
(164.8563, -164.8563),
(165.4045, -165.4045),
(165.4045, -168.2736),
(168.2736, -168.2736),
(168.5732, -168.5732),
(168.5732, -171.4423),
(171.4423, -171.4423),
(172.8189, -172.8189),
(172.8189, -175.688),
(175.688, -175.688),
(178.0809, -178.0809),
(178.0809, -180.95),
(180.95, -180.95),
(181.7517, -181.7517),
(181.7517, -184.6208),
(184.6208, -184.6208),
(185.4648, -185.4648),
(185.4648, -188.3339),
(188.3339, -188.3339),
(188.6981, -188.6981),
(188.6981, -191.5672),
(191.5672, -191.5672),
(193.4065, -193.4065),
(193.4065, -196.2756),
(196.2756, -196.2756),
(197.5616, -197.5616),
(197.5616, -200.4307),
(200.4307, -200.4307),
(201.5372, -201.5372),
(201.5372, -204.4063),
(204.4063, -204.4063),
(206.1471, -206.1471),
(206.1471, -209.0162),
(209.0162, -209.0162),
(209.5057, -209.5057),
(209.5057, -212.3748),
(212.3748, -212.3748),
(212.5607, -212.5607),
(212.5607, -215.4298),
(215.4298, -215.4298),
(217.5571, -217.5571),
(217.5571, -220.4262),
(220.4262, -220.4262),
(220.8344, -220.8344),
(220.8344, -223.7035),
(223.7035, -223.7035),
(223.7592, -223.7592),
(223.7592, -226.6283),
(226.6283, -226.6283),
(229.6087, -229.6087),
(229.6087, -232.4778),
(232.4778, -232.4778),
(233.6203, -233.6203),
(233.6203, -236.4894),
(236.4894, -236.4894),
(236.7863, -236.7863),
(236.7863, -239.6554),
(239.6554, -239.6554),
(241.038, -241.038),
(241.038, -243.9071),
(243.9071, -243.9071),
(246.0477, -246.0477),
(246.0477, -248.9168),
(248.9168, -248.9168),
(249.5631, -249.5631),
(249.5631, -252.4322),
(252.4322, -252.4322),
(253.5428, -253.5428),
(253.5428, -256.4119),
(256.4119, -256.4119),
(257.8906, -257.8906),
(257.8906, -260.7597),
(260.7597, -260.7597),
(261.8045, -261.8045),
(261.8045, -264.6736),
(264.6736, -264.6736),
(266.0016, -266.0016),
(266.0016, -268.8707),
(268.8707, -268.8707),
(269.7598, -269.7598),
(269.7598, -272.6289),
(272.6289, -272.6289),
(273.9321, -273.9321),
(273.9321, -276.8012),
(276.8012, -276.8012),
(277.3005, -277.3005),
(277.3005, -280.1696),
(280.1696, -280.1696),
(282.1501, -282.1501),
(282.1501, -285.0192),
(285.0192, -285.0192),
(285.9071, -285.9071),
(285.9071, -288.7762),
(288.7762, -288.7762),
(288.7768, -288.7768),
(288.7768, -291.6459),
(291.6459, -291.6459),
(292.2018, -292.2018),
(292.2018, -295.0709),
(295.0709, -295.0709),
(295.8485, -295.8485),
(295.8485, -298.7176),
(298.7176, -298.7176),
(299.13, -299.13),
(299.13, -301.9991),
(301.9991, -301.9991),
(303.5101, -303.5101),
(303.5101, -306.3792),
(306.3792, -306.3792),
(309.1083, -309.1083),
(309.1083, -311.9774),
(311.9774, -311.9774),
(312.0366, -312.0366),
(312.0366, -314.9057),
(314.9057, -314.9057),
(317.7252, -317.7252),
(317.7252, -320.5942),
(320.5942, -320.5942),
(321.734, -321.734),
(321.734, -324.6031),
(324.6031, -324.6031),
(325.3821, -325.3821),
(325.3821, -328.2512),
(328.2512, -328.2512),
(329.9577, -329.9577),
(329.9577, -332.8268),
(332.8268, -332.8268),
(333.1868, -333.1868),
(333.1868, -336.0559),
(336.0559, -336.0559),
(337.0861, -337.0861),
(337.0861, -339.9552),
(339.9552, -339.9552),
(341.932, -341.932),
(341.932, -344.8011),
(344.8011, -344.8011),
(345.8355, -345.8355),
(345.8355, -348.7046),
(348.7046, -348.7046),
(349.4559, -349.4559),
(349.4559, -352.325),
(352.325, -352.325),
(352.7927, -352.7927),
(352.7927, -355.6618),
(355.6618, -355.6618),
(356.0702, -356.0702),
(356.0702, -358.9393),
(358.9393, -358.9393),
(359.526, -359.526),
(359.526, -362.3951),
(362.3951, -362.3951),
(362.9358, -362.9358),
(362.9358, -365.8048),
(365.8048, -365.8048),
